0CAA,EDP  ACCTG                                                                                                    
2BDH,CCAF ISD CERTIFICATION  INSTRUCTIONAL SYSTEMS DEVELOPMENT                                                     
2BDX,EDUC CURR DEVL OTHER                                                                                          
2BDY,EDUC CURRICULUM DEVELOPEMEN                                                                                   
2BEA,EDUC ED PSYCH ADOL DEV/BEH                                                                                    
2BEB,EDUC ED PSYCH CHILD DEV/BEH                                                                                   
2BEC,EDUC ED PSYCH EDUC MEASURE                                                                                    
2BED,EDUC ED PSYCH EXCEPT CHILD                                                                                    
2BEE,EDUC ED PSYCH IND DIFFERENC                                                                                   
2BEF,EDUC ED PSYCH SCH ADJUSTMNT                                                                                   
2BEG,EDUC ED PSYCH SCH LEARNING                                                                                    
2BEH,EDUC ED PSYCH SPECIAL EDUC                                                                                    
2BEI,2BEI-UNKNOWN                                                                                                  
2BEX,EDUC ED PSYCH OTHER                                                                                           
2BEY,EDUC EDUCATIONAL PSYCHOLOGY                                                                                   
2BFA,2BFA-UNKNOWN                                                                                                  
2BFY,EDUC ELEMENTARY TEACHING                                                                                      
2BG4,2BG4-UNKNOWN                                                                                                  
2BGY,EDUC IND & VOCATION EDUC                                                                                      
2BHA,KINESIOLOGY                                                                                                   
2BHY,EDUC PHYSICAL EDUCATION                                                                                       
2BHZ,2BHZ-UNKNOWN                                                                                                  
2BIA,EDUC SEC TEACH ART                                                                                            
2BIB,EDUC SEC TEACH BUSS ADMINT                                                                                    
2BIC,EDUC SEC TEACH ENGLISH                                                                                        
2BID,EDUC SEC TEACH FOREIGN LANG                                                                                   
2BIE,EDUC SEC TEACH INDUSTR ART                                                                                    
2BIF,EDUC SEC TEACH MATHEMATICS                                                                                    
2BIG,EDUC SEC TEACH MUSIC                                                                                          
2BIH,EDUC SEC TEACH NAT SCIENCE                                                                                    
2BII,EDUC SEC TEACH SOC SCIENCE                                                                                    
2BIJ,EDUC SEC TEACH VOCATION ED                                                                                    
2BIX,EDUC SEC TEACH OTHER                                                                                          
2BIY,EDUC SECONDARY TEACHING                                                                                       
2BJA,EDUC SP TEAC TNG LIBRARY TN                                                                                   
2BJB,EDUC SP TEAC TNG METHOLOGY                                                                                    
2BJC,EDUC SP TEAC TNG SPEC EDUC                                                                                    
2BJX,EDUC SP TEAC TNG OTHER                                                                                        
2BJY,EDUC SPECIAL TEACHER TNG                                                                                      
2BKY,EDUC EDUCATIONAL TECHNOLOGY                                                                                   
2BLY,TERMINAL DEGREE ED SPEC                                                                                       
2BMY,EDUCATION/FOREIGN LANGUAGE                                                                                    
2BUY,2BUY-UNKNOWN                                                                                                  
2BXY,EDUCATION  OTHER                                                                                              
2BYC,2BYC-UNKNOWN                                                                                                  
2BYK,2BYK-UNKNOWN                                                                                                  
2BYY,EDUCATION                                                                                                     
2BZZ,2BZZ-UNKNOWN                                                                                                  
2CAA,F & A ARTS ARCH ARCH HIST                                                                                     
2CAB,F & A ARTS ARCH CTY REG IND                                                                                   
2CAC,F & A ARTS ARCH DRW CREA DG                                                                                   
2CAD,F & A ARTS ARCH LANDSCAPE                                                                                     
2CAE,F & A ARTS ARCH PVT RES DSG                                                                                   
2CAX,F & A ARTS ARCH OTHER                                                                                         
2CAY,ARCHITECTURE                                                                                                  
2CBA,F&A ART COMM ART ADVERTISIN                                                                                   
2CBB,F&A ART COMM ART CARTOONING                                                                                   
2CBC,F&A ART COMM ART ILLUSTRAT                                                                                    
2CBD,F&A ART COMM ART IND PATTER                                                                                   
2CBE,F&A ART COMM ART INT DECOR                                                                                    
2CBF,F&A ART COMM ART LAYOUT                                                                                       
2CBG,F&A ART COMM ART LETTERING                                                                                    
2CBX,F&A ART COMM ART OTHER                                                                                        
2CBY,F&A ARTS COMMERCIAL ARTS                                                                                      
2CCA,F&A ART DECOR CALLIGRAPHY                                                                                     
2CCB,F&A ART DECOR CERAMICS                                                                                        
2CCC,F&A ART DECOR FASH ILLISTRA                                                                                   
2CCD,F&A ART DECOR INLAY ENAMLNG                                                                                   
2CCE,F&A ART DECOR JEWELRY                                                                                         
2CCF,F&A ART DECOR MOSAIC                                                                                          
2CCG,F&A ART DECOR MURAL                                                                                           
2CCH,F&A ART DECOR PHOTO CERAMIC                                                                                   
2CCI,F&A ART DECOR STAGE DECOR                                                                                     
2CCJ,F&A ART DECOR STND GLS FGLS                                                                                   
2CCK,F&A ART DECOR WEAVING                                                                                         
2CCL,F&A ART DECOR WOOD CARVING                                                                                    
2CCX,F&A ART DECOR OTHER                                                                                           
2CCY,F&A ARTS DECORATIVE ART&CRF                                                                                   
2CDA,F&A ART GRAP ART DRAWING                                                                                      
2CDB,F&A ART GRAP ART PRINTING                                                                                     
2CDC,F&A ART GRAP ADVERT DESIGN                                                                                    
2CDD,F&A ART GRAP REPROGRAPHICS                                                                                    
2CDE,F&A ART GRAP PRINT MGMT                                                                                       
2CDF,2CDF-UNKNOWN                                                                                                  
2CDX,F&A ART GRAP ART OTHER                                                                                        
2CDY,F&A ART  GRAPHIC ARTS                                                                                         
2CEA,F&A ART H ECOM CHILD DEVEL                                                                                    
2CEB,F&A ART H ECOM CLT TEX CHEM                                                                                   
2CEC,F&A ART H ECOM DIETETICS                                                                                      
2CED,F&A ART H ECOM FMLY RELAT                                                                                     
2CEE,F&A ART H ECOM JOURNALISM                                                                                     
2CEF,F&A ART H ECOM NUTR TECHN                                                                                     
2CEG,F&A ART H ECOM RELATED ARTS                                                                                   
2CEX,F&A ART H ECOM OTHER                                                                                          
2CEY,F&A ART HOME ECONOMICS                                                                                        
2CFA,F&A ART IND DSGN CERAMICS                                                                                     
2CFB,F&A ART IND DSGN CONCRETE                                                                                     
2CFC,F&A ART IND DSGN FURNITURE                                                                                    
2CFD,F&A ART IND DSGN GL F GLASS                                                                                   
2CFE,F&A ART IND DSGN JEWELRY                                                                                      
2CFF,F&A ART IND DSGN LANDSCAPE                                                                                    
2CFG,F&A ART IND DSGN LEATHERCRF                                                                                   
2CFH,F&A ART IND DSGN METAL &JLR                                                                                   
2CFI,F&A ART IND DSGN PACKAGING                                                                                    
2CFJ,F&A ART IND DSGN POTTERY                                                                                      
2CFX,F&A ART IND DSGN OTHER                                                                                        
2CFY,F&A ART INDUSTRIAL ART DSGN                                                                                   
2CGA,F&A ART LIB SC ARCH HISTORI                                                                                   
2CGB,F&A ART LIB SC CATOLG/CLASS                                                                                   
2CGC,F&A ART LIB SC LAW LIBRARY                                                                                    
2CGD,F&A ART LIB SC MEDICAL LIBR                                                                                   
2CGE,F&A ART LIB SC RESEARCH LIB                                                                                   
2CGF,F&A ART LIB SC TECH ACQUISN                                                                                   
2CGX,F&A ART LIB SC OTHER                                                                                          
2CGY,F&A ART LIBRARY SCIENCE                                                                                       
2CHA,F&A ART MUSIC COMPOSITION                                                                                     
2CHB,F&A ART MUSIC INST MUSIC                                                                                      
2CHC,F&A ART MUSIC SACRED MUSIC                                                                                    
2CHD,F&A ART MUSIC SECULAR MUSIC                                                                                   
2CHE,F&A ART MUSIC VOCAL MUSIC                                                                                     
2CHX,F&A ART MUSIC OTHER                                                                                           
2CHY,F&A ART  MUSIC                                                                                                
2CHZ,2CHZ-UNKNOWN                                                                                                  
2CIA,F&A ART PAINT HST OF PAINT                                                                                    
2CIB,F&A ART PAINT OIL PAINTING                                                                                    
2CIC,F&A ART PAINT OIL PORT PANT                                                                                   
2CID,F&A ART PAINT SERIGRAPHY                                                                                      
2CIE,F&A ART PAINT TEMPRA PAINT                                                                                    
2CIF,F&A ART PAINT WATERCOLOR                                                                                      
2CIX,F&A ART PAINT OTHER                                                                                           
2CIY,F&A ART  PAINTING                                                                                             
2CJA,F&A ART PER ARTS BALLET                                                                                       
2CJB,F&A ART PER ARTS DRAMA THEA                                                                                   
2CJC,F&A ART PER ARTS MOD DANCE                                                                                    
2CJX,F&A ART PER ARTS OTHER                                                                                        
2CJY,F&A ART PERFORMANCE ARTS                                                                                      
2CKA,F&A ART SCULPT ARCHET SCULP                                                                                   
2CKB,F&A ART SCULPT CST META TEC                                                                                   
2CKC,F&A ART SCULPT CERAMIC SCUL                                                                                   
2CKD,F&A ART SCULPT CREATIVE SCU                                                                                   
2CKE,F&A ART SCULPT HST OF SCULP                                                                                   
2CKF,F&A ART SCULPT STEEL SCULPT                                                                                   
2CKG,F&A ART SCULPT STONE SCULPT                                                                                   
2CKX,F&A ART SCULPT OTHER                                                                                          
2CKY,F&A ART  SCULPTURE                                                                                            
2CXY,F+A ART OTHER                                                                                                 
2CYY,FINE AND APPLIED ARTS                                                                                         
2CZZ,2CZZ-UNKNOWN                                                                                                  
2DBO,2DBO-UNKNOWN                                                                                                  
2DBQ,2DBQ-UNKNOWN                                                                                                  
2DBS,2DBS-UNKNOWN                                                                                                  
2DBV,2DBV-UNKNOWN                                                                                                  
2DBX,2DBX-UNKNOWN                                                                                                  
2DCE,2DCE-UNKNOWN                                                                                                  
2DDF,2DDF-UNKNOWN                                                                                                  
2DDY,2DDY-UNKNOWN                                                                                                  
2DLE,2DLE-UNKNOWN                                                                                                  
2DLG,2DLG-UNKNOWN                                                                                                  
2DLJ,2DLJ-UNKNOWN                                                                                                  
2DXY,2DXY-UNKNOWN                                                                                                  
2DYA,ARABMOD  MODERN STANDARD                                                                                      
2DYB,CHINESE  MANDARIN                                                                                             
2DYC,DUTCH                                                                                                         
2DYD,FRENCH                                                                                                        
2DYE,GERMAN                                                                                                        
2DYF,JAPANESE                                                                                                      
2DYG,ITALIAN                                                                                                       
2DYH,SPANISH AMERICAN                                                                                              
2DYI,POLISH                                                                                                        
2DYJ,PORT BRAZ  BRAZILIAN                                                                                          
2DYK,SPANISH                                                                                                       
2DYL,RUSSIAN                                                                                                       
2DYM,SPANISH/CAS  CASTILLIAN                                                                                       
2DYN,TAGALOG                                                                                                       
2DYO,TURKISH                                                                                                       
2DYP,KOREAN                                                                                                        
2DYQ,PERSIAN FARSI                                                                                                 
2DYR,VIETNAMESE                                                                                                    
2DYS,SOUTHEAST ASIAN LANGUAGES                                                                                     
2DYT,SLAVIC LANGUAGES                                                                                              
2DYX,NONE SPECIFIC/OTHER                                                                                           
2DYY,FOGN LAG/AREA STUDY                                                                                           
2DYZ,GEOSPATIAL SCIENCE                                                                                            
2DZZ,2DZZ-UNKNOWN                                                                                                  
2ECY,2ECY-UNKNOWN                                                                                                  
2EYY,HUMANITIES                                                                                                    
2EZZ,2EZZ-UNKNOWN                                                                                                  
2FAA,LANG ENGLISH COMPOSITION                                                                                      
2FAB,LANG ENGLISH GRAMMER                                                                                          
2FAX,LANG ENGLISH OTHER                                                                                            
2FAY,LANG ENGLISH                                                                                                  
2FAZ,2FAZ-UNKNOWN                                                                                                  
2FBY,LANGUAGE  JOURNALISM                                                                                          
2FCA,LANG LIT AMERICAN LIT                                                                                         
2FCB,LANG LIT BIBLICAL LIT                                                                                         
2FCC,LANG LIT CLASSICAL LIT                                                                                        
2FCD,LANG LIT COMPARATIVE LIT                                                                                      
2FCE,LANG LIT ENGLISH LITERATURE                                                                                   
2FCX,LANG LIT OTHER                                                                                                
2FCY,LANGUAGE  LITERATURE                                                                                          
2FDA,LANG PUB REL ADVER WRITING                                                                                    
2FDB,LANG PUB REL COMMUN RESEARC                                                                                   
2FDC,LANG PUB REL MOTION PICTURE                                                                                   
2FDD,LANG PUB REL RADIO TELEVISN                                                                                   
2FDE,PUBLIC AFFAIRS                                                                                                
2FDX,LANG PUB REL OTHER                                                                                            
2FDY,LANG  PUB RELAT & RELT COMM                                                                                   
2FDZ,2FDZ-UNKNOWN                                                                                                  
2FEA,LANG SPEECH ORAL INTERPRETA                                                                                   
2FEB,LANG SPEECH  PHONETICS                                                                                        
2FEC,LANG SPEECH TECH OF DELIVER                                                                                   
2FEX,LANG SPEECH  OTHER                                                                                            
2FEY,LANGUAGE  SPEECH                                                                                              
2FFA,LANG WRITE COMPILE & EDITIN                                                                                   
2FFB,LANG WRITE DRAMA                                                                                              
2FFC,LANG WRITE FICTION                                                                                            
2FFD,LANG WRITE NONFICTION                                                                                         
2FFE,LANG WRITE POETRY                                                                                             
2FFX,LANG WRITE OTHER                                                                                              
2FFY,LANGUAGE WRITING                                                                                              
2FIC,2FIC-UNKNOWN                                                                                                  
2FVY,VISUAL COMMUNICATIONS                                                                                         
2FXY,LANG & COMMUNICAT ART OTHER                                                                                   
2FYA,2FYA-UNKNOWN                                                                                                  
2FYY,LANGUAGES/COMMUNICATIVE ART                                                                                   
2FZZ,2FZZ-UNKNOWN                                                                                                  
2GAA,PHIL AEST ESSENCE BEAV                                                                                        
2GAB,PHIL AEST PHIL OF ARTS                                                                                        
2GAX,PHIL AEST OTHER                                                                                               
2GAY,PHIL AESTHETICS                                                                                               
2GBA,PHIL AEST ANAL PHIL                                                                                           
2GBB,CONTPHL BERGSONISM                                                                                            
2GBC,CONT PHL CONT MATAPHYS                                                                                        
2GBD,CONTPHL  CULT IDEALISM                                                                                        
2GBE,CONT PHL DIALECTI MATE                                                                                        
2GBF,CONT PHL EXIST FRENCH                                                                                         
2GBG,CONT CONT PHL EXIST GERMAN                                                                                    
2GBH,CONT CONT PHL HISTOR GERMAN                                                                                   
2GBI,CONT CONT PHL NEO KANTIANIS                                                                                   
2GBJ,CONT CONT PHL NEOPOSITIVISM                                                                                   
2GBK,CONT CONT PHL NEROALIS ENG                                                                                    
2GBL,CONT CONT PHL PHENOMENOLOGY                                                                                   
2GBM,CONT CONT PHL PRAGMATISM                                                                                      
2GBN,CONT CONT PHL SCIE IDEALISN                                                                                   
2GBO,PHIL CONT PHL THOMISM                                                                                         
2GBX,PHIL CONT PHL OTHER                                                                                           
2GBY,CONTEMPARY PHILLOS                                                                                            
2GCA,PHIL CUL PHIL ANTHROPOLOGY                                                                                    
2GCB,PHIL CUL PHIL PHILO EDUCAT                                                                                    
2GCC,PHIL CUL PHIL PHILO HISTORY                                                                                   
2GCD,PHIL CUL PHIL PHILO LANGUA                                                                                    
2GCE,PHIL CUL PHIL PHILO RELIGIN                                                                                   
2GCF,PHIL CUL PHIL POL/SOC PHIL                                                                                    
2GCX,PHIL CUL PHIL OTHER                                                                                           
2GCY,PHILOSOP CULTURAL PHILOSOPH                                                                                   
2GDA,PHIL EMP PSY BEHAVIOR PSY                                                                                     
2GDB,PHIL EMP PSY CHARACTEROLOGY                                                                                   
2GDC,PHIL EMP PSY CONSIOUSNESS                                                                                     
2GDD,PHIL EMP PSY  CRIMINAL PSY                                                                                    
2GDE,PHIL EMP PSY  DEVELOP PSY                                                                                     
2GDF,PHIL EMP PSY  EXISTENT PSY                                                                                    
2GDG,PHIL EMP PSY  LEARNING                                                                                        
2GDH,PHIL EMP PSY  PSYCHOPHYSICS                                                                                   
2GDI,PHIL EMP PSY  PSYSICS/PSYMA                                                                                   
2GDX,PHIL EMP PSY  OTHER                                                                                           
2GDY,PHILOSOP EMPIRICAL PSYCHOLO                                                                                   
2GEA,PHIL EPISTE CRIT EMP KNOWLE                                                                                   
2GEB,PHIL EPISTE CRIT ESSN KNOWL                                                                                   
2GEC,PHIL EPISTE ESSENCE TRUTH                                                                                     
2GED,PHIL EPISTE SPACE & TIME                                                                                      
2GEE,PHIL EPISTE SUB OBJ RELATIN                                                                                   
2GEX,PHIL EPISTE OTHER                                                                                             
2GEY,PHILOSOP  EPISTEMOLOGY                                                                                        
2GFA,PHIL ETH JUST INDV & SOCIAL                                                                                   
2GFB,PHIL ETH MORAL ACT & HABITS                                                                                   
2GFC,PHIL ETH MORAL JUDGE VALUE                                                                                    
2GFD,PHIL ETH MORAL LAWS                                                                                           
2GFE,PHIL ETH MORAL VIRTUES                                                                                        
2GFX,PHIL ETH OTHER                                                                                                
2GFY,PHILUAGE  ETHICS                                                                                              
2GGA,PHIL AEST ANCT PHIL                                                                                           
2GGB,PHIL HST W PHILOS MEDIVAL                                                                                     
2GGC,PHIL HST W PHILOS MODERN                                                                                      
2GGX,PHIL HST W PHILOS OTHER                                                                                       
2GGY,PHIL HISTORY WEST PHILOSOPY                                                                                   
2GHA,PHIL LOGIC CON JUDGE REASON                                                                                   
2GHB,PHIL LOGIC METHOLOGY                                                                                          
2GHC,PHIL LOGIC SYMBOLIC LOGIC                                                                                     
2GHX,PHIL LOGIC OTHER                                                                                              
2GHY,PHILOSOP  LOGIC                                                                                               
2GIA,PHIL METAP  CAUSALITY                                                                                         
2GIB,PHIL METAP ESSEN & EXIST                                                                                      
2GIC,PHIL METAP FREE & DETERMN                                                                                     
2GID,PHIL METAP HIREACHY BEING                                                                                     
2GIE,PHIL METAP HUMAN PERSON                                                                                       
2GIF,PHIL METAP METAPH PRINCPGL                                                                                    
2GIG,PHIL METAP RELATION                                                                                           
2GIH,PHIL METAP SUBST & ACCIDENT                                                                                   
2GIX,PHIL METAP OTHER                                                                                              
2GIY,PHILOSOP  METAPHYSICS                                                                                         
2GJA,PHIL N&S PHIL COSMOLOGY                                                                                       
2GJB,PHIL N&S PHIL METH BIO SCIN                                                                                   
2GJC,PHIL N&S PHIL METH PHY SCIN                                                                                   
2GJX,PHIL N&S PHIL OTHER                                                                                           
2GJY,PHIL NATURAL & SCIEN PHILO                                                                                    
2GKA,PHIL ORIEN PHILO  CHINA                                                                                       
2GKB,PHIL ORIEN PHILO  INDIA                                                                                       
2GKC,PHIL ORIEN PHILO  MID EAST                                                                                    
2GKX,PHIL ORIEN PHILO  OTHER                                                                                       
2GKY,PHILOSOP  ORIENTAL PHILOSOP                                                                                   
2GLA,PHIL PHIL PSY EMOTION                                                                                         
2GLB,PHIL PHIL PSY IDEAT PROCES                                                                                    
2GLC,PHIL PHIL PSY IMAGINATION                                                                                     
2GLD,PHIL PHIL PSY INSTINCTS                                                                                       
2GLE,PHIL PHIL PSY LIFE                                                                                            
2GLF,PHIL PHIL PSY MEMORY                                                                                          
2GLG,PHIL PHIL PSY PERCEPTION                                                                                      
2GLH,PHIL PHIL PSY SOUL                                                                                            
2GLI,PHIL PHIL PSY WHOLE MAN                                                                                       
2GLX,PHIL PHIL PSY OTHER                                                                                           
2GLY,PHILOSOP PHILOSOQHICAL PSY                                                                                    
2GMA,PHIL RAT THE GOD & MAN                                                                                        
2GMB,PHIL RAT THE GOD & THE WLD                                                                                    
2GMC,PHIL RAT THE GOD EXIST NAT                                                                                    
2GMD,PHIL RAT THE PROB OF EVIL                                                                                     
2GMX,PHIL RAT THE OTHER                                                                                            
2GMY,PHILOSOP  RATIONAL THEORY                                                                                     
2GXY,PHILOSOPHY OTHERS                                                                                             
2GYY,PHILOSOPHY                                                                                                    
2GZZ,2GZZ-UNKNOWN                                                                                                  
2HAY,RELIGION COMPARATIVE RELIGN                                                                                   
2HBA,RELIG COMP RELIG E REL BUDD                                                                                   
2HBB,RELIG COMP RELIG E REL HIND                                                                                   
2HBC,RELIG COMP RELIG E REL ISLM                                                                                   
2HBX,RELIG COMP RELIG E REL OTH                                                                                    
2HBY,RELIG COMP RELIG E RELIG                                                                                      
2HCA,RELIG THEOL APOLOGETICS                                                                                       
2HCB,RELIG THEOL DOGMATICS                                                                                         
2HCC,RELIG THEOL MORAL THEOLOGY                                                                                    
2HCD,CLINICAL PASTORAL EDUCATION                                                                                   
2HCX,RELIG THEOL OTHER                                                                                             
2HCY,RELIGION THEOLOGY                                                                                             
2HCZ,2HCZ-UNKNOWN                                                                                                  
2HDA,RELIG W RELIG EARLY CHRIST                                                                                    
2HDB,RELIG W RELIG JUDAISM                                                                                         
2HDC,RELIG W RELIG MEDIEUAL CHRI                                                                                   
2HDD,RELIG W RELIG POST REF CHRI                                                                                   
2HDE,RELIG W RELIG REFORMATION                                                                                     
2HDX,RELIG W RELIG OTHER                                                                                           
2HDY,RELIGION WESTERN RELIGION                                                                                     
2HWY,RELIGION DOCTOR OF MINISTRY                                                                                   
2HXY,RELIGION OTHER                                                                                                
2HYV,2HYV-UNKNOWN                                                                                                  
2HYY,RELIGION                                                                                                      
2HZZ,2HZZ-UNKNOWN                                                                                                  
2IAA,AIR TRAFFIC CONTROL                                                                                           
2IAB,PHOTOGRAPHY                                                                                                   
2IAC,COMM PRCSG MGT                                                                                                
2IAD,CONF COURT RPRTG                                                                                              
2IAE,CREATIVE WRTG                                                                                                 
2IAF,ELECT CTRMSR                                                                                                  
2IAG,INTEL IMAGRY ANAL                                                                                             
2IAH,INTPRG TRNSLTG                                                                                                
2IAI,AEROSP CONTROL SYS TECH                                                                                       
2IAJ,AUDIOVISUAL PRODUCTION                                                                                        
2IAK,COMM OPERATIONS TECHNOLOGY                                                                                    
2IAL,COMM APPLIC TECHNOLOGY                                                                                        
2IAX,COMM TECH OTHER                                                                                               
2IAY,COMM TECH                                                                                                     
2IBA,COMPARTV EDUC                                                                                                 
2IBB,INSTR IN TECH                                                                                                 
2IBC,OCC EDUC TECH                                                                                                 
2IBD,PRESCH CHILD CARE                                                                                             
2IBE,TEACHER AIDE                                                                                                  
2IBS,SURV INSTR                                                                                                    
2IBT,CCAF INSTRUCTOR CERTIFICATION                                                                                 
2IBX,EDUC EXCL REL TECH OTHER                                                                                      
2IBY,EDUC EXCL REL TECH                                                                                            
2ICA,AFRICAN STUDIES                                                                                               
2ICB,AFRO AM STUDIES                                                                                               
2ICC,CHICANO STUDIES                                                                                               
2ICD,CLASSICS                                                                                                      
2ICE,INDIAN HIST                                                                                                   
2ICF,PEACE STUDIES TECH                                                                                            
2ICX,HUM TECH OTHER                                                                                                
2ICY,HUM TECH                                                                                                      
