11A,AIRLIFT PILOT                                                                   
66,66XX   LOG PLANS                                                                
67,67XX   FINANCE                                                                  
68,RESERVED                                                                        
69,69XX   BUDGET  HIST                                                             
6AA,NURSING ADMINISTRATOR  WOMENS HEALTH NP  46A                                    
6AB,NURSING ADMINISTRATOR  PEDIATRIC NP  46A                                        
6AC,NURSING ADMINISTRATOR  ADULT/PRIM CARE NP  46A                                  
6AD,NURSING ADMINISTRATOR  STAFF DEV  46A                                           
6AF,NURSING ADMINISTRATOR  CRITICAL CARE  46A                                       
6AG,NURSING ADMINISTRATOR  MIDWIFE OR OB  46A                                       
6AH,NURSING ADMINISTRATOR  FAMILY NP  46A                                           
6AM,NURSING ADMINISTRATOR  NURSE ANESTHETIST  46A                                   
6AN,NURSING ADMINISTRATOR  CLINICAL NURSE  46A                                      
6AP,NURSING ADMINISTRATOR  MENTAL HEALTH  46A                                       
6AS,NURSING ADMINISTRATOR  OPERATING ROOM  46A                                      
6AX,NURSING ADMINISTRATOR  46A                                                      
6FX,FLIGHT NURSE  46F                                                               
6G1,NURSE MIDWIFE  TRAINING  46G1                                                   
6G3,NURSE MIDWIFE  STAFF  46G3                                                      
6GX,NURSE MIDWIFE  46G                                                              
6M1,NURSE ANESTHETIST  TRAINING  46M1                                               
6M3,NURSE ANESTHETIST  STAFF  46M3                                                  
6MX,NURSE ANESTHETIST  46M                                                          
6N1,CLINICAL NURSE  TRAINING  AFIT  DE  ADMIN HOLD  ETC    46N1                     
6N3,CLINICAL NURSE  STAFF  46N3                                                     
6N4,CLINICAL NURSE  CAREER BROADENING  AO  AIRSTAFF  RECRUITING   46N4              
6NA,WOMENS HEALTH CARE NURSE PRACTITIONER  46N A                                    
6NB,PEDIATRIC NURSE PRACTITIONER  46N B                                             
6NC,ADULT/PRIMARY CARE NURSE PRACTITIONER  46N C                                    
6ND,STAFF DEVELOPMENT  46N D                                                        
6NE,CRITICAL CARE  46N E                                                            
6NF,NEONATAL INTENSIVE CARE  46N F                                                  
6NG,OBSTETRICAL  46N G                                                              
6NH,FAMILY NURSE PRACTITIONER  46N H                                                
6NX,CLINICAL NURSE  46N                                                             
6P3,MENTAL HEALTH NURSE  46P3                                                       
6PA,MENTAL HEALTH NURSE SPECIALIST  46P A                                           
6PX,MENTAL HEALTH NURSE  46P                                                        
6S1,OPERATING ROOM NURSE  TRAINING  46S1                                            
6S3,OPERATING ROOM NURSE  STAFF  46S3                                               
6SX,OPERATING ROOM NURSE  46S                                                       
70,70XX   ADMINISTRATION                                                           
71,RESERVED                                                                        
71S,SPECIAL INVESTIGATIONS                                                          
72,RESERVED                                                                        
73,73XX   PERSONNEL                                                                
74,74XX   MANPOWER                                                                 
75,75XX   EDUC AND TRAINING                                                        
76,769X   CHIEF  MISSION SUPPORT                                                   
77,RESERVED                                                                        
78,78XX   MWR/SERVICES                                                             
79,79XX   INFORMATION                                                              
7B1,ORTHODONTIST  TRAINING  47B1                                                    
7B3,ORTHODONTIST  STAFF  47B3                                                       
7B4,ORTHODONTIST  ADMIN  47B4                                                       
7BX,ORTHODONTIST  47B                                                               
7D1,ORAL AND MAXILLOFACIAL PATHOLOGIST  TRAINING  47D1                              
7D3,ORAL AND MAXILLOFACIAL PATHOLOGIST  STAFF  47D3                                 
7D4,ORAL AND MAXILLOFACIAL PATHOLOGIST  ADMIN  47D4                                 
7DX,ORAL AND MAXILLOFACIAL PATHOLOGIST  47D                                         
7.00E+01,ENDODONTIST  TRAINING  47E1                                                     
7.00E+03,ENDODONTIST  STAFF  47E3                                                        
7.00E+04,ENDODONTIST  ADMIN  47E4                                                        
7EX,ENDODONTIST  47E                                                                
7G3,DENTIST  STAFF  47G3                                                            
7G4,DENTIST  ADMIN  47G4                                                            
7GA,COMPREHENSIVE  47G A                                                            
7GB,ADVANCED CLINICAL  47G B                                                        
7GC,GENERAL CLINICAL  47G C                                                         
7GD,PUBLIC HEALTH  47G D                                                            
7GE,DENTAL MATERIALS SCIENCE  47G E                                                 
7GF,ORAL AND MAXILLOFACIAL RADIOLOGY  47G F                                         
7GG,TEMPOROMANDIBULAR DISORDERS  47G G                                              
7GH,HOSPITAL DENTISTRY  47G H                                                       
7GX,DENTIST  47G                                                                    
7H1,PERIODONTIST  TRAINING  47H1                                                    
7H3,PERIODONTIST  STAFF  47H3                                                       
7H4,PERIODONTIST  ADMIN  47H4                                                       
7HX,PERIODONTIST  47H                                                               
7K1,PEDIATRIC DENTIST  TRAINING  47K1                                               
7K3,PEDIATRIC DENTIST  STAFF  47K3                                                  
7K4,PEDIATRIC DENTIST  ADMIN  47K4                                                  
7KX,PEDIATRIC DENTIST  47K                                                          
7P1,PROSTHODONTIST  TRAINING  47P1                                                  
7P3,PROSTHODONTIST  STAFF  47P3                                                     
7P4,PROSTHODONTIST  ADMIN  47P4                                                     
7PA,MAXILLOFACIAL PROSTHETICS  47P A                                                
7PB,AREA DENTAL LABORATORY  47P B                                                   
7PC,DENTAL MATERIALS  47P C                                                         
7PX,PROSTHODONTIST  47P                                                             
7S1,ORAL AND MAXILLOFACIAL SURGEON  TRAINING  47S1                                  
7S3,ORAL AND MAXILLOFACIAL SURGEON  STAFF  47S3                                     
7S4,ORAL AND MAXILLOFACIAL SURGEON  ADMIN  47S4                                     
7SA,TEMPOROMANDIBULAR JOINT  47S A                                                  
7SB,FACIAL ESTHETICS  47S B                                                         
7SC,MAXILLOFACIAL RECONSTRUCTION  47S C                                             
7SX,ORAL AND MAXILLOFACIAL SURGEON  47S                                             
80,80XX   INTELLIGENCE                                                             
81,81XX   SECURITY                                                                 
81T,INSTRUCTOR                                                                      
82,82XX   OSI                                                                      
82A,82A-UNKNOWN                                                                     
83,RESERVED                                                                        
83R,RECRUITING SERVICE                                                              
84,RESERVED                                                                        
84H, AFR USE ONLY  HISTORIAN                                                        
